file,#,organization-name,city-state,organization-type,position-held,from,to
"White House/Catanzaro, Michael J",1,cgcn group,"washington, d.c., District of Columbia",lobbying firm,partner,1/2015,2/2017
"White House/Catanzaro, Michael J",2,Trump For America,"New York, New York",Corporation,Director for Energy Policy,9/2016,11/2016
"White House/Cheung, Steven N ",1,Ultimate Fighting Championship,"Las Vegas, Nevada",Corporation,Director of Communication s and Public Affairs,4/2013,2/2016
"White House/Cheung, Steven N ",2,Donald J. Trump for President,"New York City, New York",Corporation,Director of Rapid Response,7/2016,11/2016
"White House/Cheung, Steven N ",3,Trump for America Inc.,"Washington, District of Columbia",Non-Profit,Consultant,11/2016,1/2017
"White House/Clark, Justin",1,"Davis, Clark & Bonafonte LLC","Glastonbury, Connecticut",Law Firm,Member,1/2011,11/2016
"White House/Clark, Justin",2,"Donald J. Trump for President, Inc.","New York, New York",Corporation,Deputy National Political Director,4/2016,11/2016
"White House/Clark, Justin",3,"Chris Christie for President, Inc.","Morristown, New Jersey",Corporation,Director of Operations,8/2015,3/2016
"White House/Clark, Justin",4,"Trump for America, Inc.","Washington, District of Columbia",Presidential Transition Team,Director of Agency Action,11/2015,1/2017
"White House/Cohn, Gary",1,NYU Langone Medical Center,"New York, New York",Non-Profit,Trustee,5/2008,Present
"White House/Cohn, Gary",2,American University,"Washington, District of Columbia",University/Colle ge,Trustee,2/2009,Present
"White House/Cohn, Gary",3,NYU Hospital for Joint Diseases,"New York, New York",Non-Profit,Chairman of Advisory Board,8/2010,Present
"White House/Cohn, Gary",4,2013 GRAT l,"New York, New York",Trust,Trustee,2/2013,Present
"White House/Cohn, Gary",5,2013 GRAT ll,"New York, New York",Trust,Trustee,2/2013,Present
"White House/Cohn, Gary",6,2016 GRAT l,"New York, New York",Trust,Trustee,2/2016,Present
"White House/Cohn, Gary",7,2016 GRAT ll,"New York, New York",Trust,Trustee,2/2016,Present
"White House/Cohn, Gary",8,The Pevaroff Cohn Family Foundation,"New York, New York",Trust,Trustee,11/1994,Present
"White House/Cohn, Gary",9,"CMC Partners, LLC","Wilmington, Delaware",Corporation,Investment Manager,4/2006,Present
"White House/Cohn, Gary",10,"CMC Too, LLC","Wilmington, Delaware",Corporation,Investment Manager,8/2013,Present
"White House/Cohn, Gary",11,New York University,"New York, New York",University/Colle ge,Trustee,11/2016,Present
"White House/Cohn, Gary",12,"The Goldman Sachs Group, Inc.","New York, New York",Corporation,Senior Director,1/2017,Present
"White House/Cohn, Gary",13,"The Goldman Sachs Group, Inc.","New York, New York",Corporation,President & COO,6/2006,12/2016
"White House/Cohn, Gary",14,CMC HC LLC,"Wilmington, Delaware",Corporation,Investment Manager,3/2013,Present
"White House/Cohn, Gary",15,25 Bond/5 LLC,"Wilmington, Delaware",Corporation,Investment Manager,11/2009,Present
"White House/Conway, Kellyanne",1,the polling company/WomanTrend,"Washington, District of Columbia",Corporation,President and CEO,6/1995,1/2017
"White House/Cordish, Reed",1,CTR Management Inc.,"Baltimore, Maryland",Corporation,Principal,6/1998,1/2017
"White House/Cordish, Reed",2,Entertainment Consulting International LLC,"Baltimore, Maryland",Corporation,President,11/2011,1/2017
"White House/Cordish, Reed",3,PPE Casino Resorts Maryland Developer LLC,"Baltimore, Maryland",Corporation,Principal,1/2013,12/2016
"White House/DeStefano, John",1,"DT Client Services, LLC","Washington, District of Columbia",Corporation,President & CEO,7/2013,1/2017
"White House/Dearborn, Rick",1,President Elect Transition Team,"Washington, D.C., District of Columbia",Governmental and 501(c) 4,Executive Director and Trustee,11/2016,1/2017
"White House/Delrahim, Makan",1,"Brownstein Hyatt Farber Schreck, LLP","Los Angeles, California",Law Firm,Partner/Shareh older,8/2005,Present
"White House/Delrahim, Makan",2,Pepperdine University School of Law,"Malibu, California",University/Colle ge,Adjunct Professsor of Law,8/2011,12/2015
"White House/Delrahim, Makan",3,"Trump for America, Inc.","Washington, District of Columbia",Non-Profit,Attorney,12/2016,1/2017
"White House/Delrahim, Makan",4,"World Poker Tour Foundation, Inc.","Los Angeles, California",Non-Profit,Board Member,3/2012,12/2016
"White House/Delrahim, Makan",5,"Preconcile, LLC","Baltimore, Maryland",Corporation,Co-Founder,6/2013,12/2016
"White House/Dhillon, Uttam",1,"Texas Philatelic Association Foundation, Inc.","Austin, Texas",Non-Profit,"Member, Board of Directors",6/2012,Present
"White House/Dhillon, Uttam",2,Timber Ridge Homeowners Corporation,"Newtown, Pennsylvania",Homeowners Association,Board Member,11/2016,Present
White House/Diaz-Rosillo Carlos,1,"Trump for America, Inc. (Presidential Transition)","Washington, District of Columbia",Non-Profit,Executive Authority Advisor and White House Lead,8/2016,1/2017
White House/Diaz-Rosillo Carlos,2,Harvard University,"Cambridge, Massachusetts",University/Colle ge,Lecturer on Government and Assistant Dean of Harvard College,7/2008,1/2017
White House/Diaz-Rosillo Carlos,3,Belen Jesuit Preparatory School,"Miami, Florida",Non-Profit,Assistant Summer Camp Director,6/1999,8/2016
"White House/Ditto, Jessica",1,Office of the Governor,"Frankfort, Kentucky",State Government,Communication s Director,12/2015,9/2016
"White House/Ditto, Jessica",2,Connected Nation,"Bowling Green, Kentucky",Non-Profit,"Director, Education Program Operations",4/2009,9/2015
"White House/Ditto, Jessica",3,"Matt Bevin for Kentucky, Inc.","Louisville, Kentucky",Political Campaign,Communication s Director,9/2015,12/2015
"White House/Ditto, Jessica",4,"Donald J. Trump for President, Inc.","New York, New York",Political Campaign,Deputy Communication s Director,9/2016,11/2016
"White House/Ditto, Jessica",5,"Trump for America, Inc.","Washington, District of Columbia",Transition Team,Deputy Communication s Director,11/2016,1/2017
"White House/Donaldson, Ann",1,Jones Day,"Washington, District of Columbia",Law Firm,Associate,7/2014,1/2017
"White House/Doocey, Sean E",1,Trump For America,"Washington, District of Columbia",Corporation,Director of Research,7/2016,1/2017
"White House/Doocey, Sean E",2,Barbaricum,"Washington, District of Columbia",Corporation,Director of HR/ Security,3/2013,12/2016
"White House/Eisenberg, John",1,Kirkland & Ellis LLP,"Washington, District of Columbia",Law Firm,Partner,5/2009,1/2017
"White House/Ellis, Michael",1,The Dartmouth Review,"Hanover, New Hampshire",Non-Profit,Board Member,9/2008,2/2017
"White House/Epshteyn, Boris",1,Presidential Inaugural Committee,"Washington, District of Columbia",501(c)(4),Communication s Director,11/2016,1/2017
"White House/Epshteyn, Boris",2,"Donald J. Trump for America, Inc.","New York, New York",Political Campaign Committee,Senior Advisor,8/2016,11/2016
"White House/Epshteyn, Boris",3,"TGP Securities, Inc.","New York, New York",Broker-Dealer,Managing Director of Business and Legal Affairs,7/2013,1/2017
"White House/Epshteyn, Boris",4,Strategy International LLC,"Princeton, New Jersey",Consulting,Consultant,5/2009,1/2017
"White House/Epshteyn, Boris",5,Prime Health Services,"Brentwood, TN, Tennessee",Corporation,Board Member/Advisor,2/2014,1/2017
"White House/Epshteyn, Boris",6,"ISA Internationale, Inc","St. Paul, Minnesota",Corporation,Advisor,7/2010,1/2017
"White House/Ferre, Helen",1,Republican National Committee,"Washington DC, District of Columbia",political organization,Director of Hispanic Communication s,6/2016,1/2017
"White House/Ferre, Helen",2,Right to Rise PAC,"Miami, Florida",Political Action Committee,Advisor,5/2015,6/2015
"White House/Ferre, Helen",3,Jeb Bush Presidential Campaign,"Miami, Florida",Political Campaign,Advisor,6/2015,2/2016
"White House/Ferre, Helen",4,Univision,"Doral, Florida",Corporation,Radio Host,7/2012,1/2015
"White House/Ferre, Helen",5,The Miami Herald/El Nuevo Herald,"Doral, Florida",Corporation,columnist,11/2013,4/2015
"White House/Ferre, Helen",6,South Florida PBS Inc.,"North Miami Beach, Florida",Non-Profit,Television Host,8/1999,8/2015
"White House/Ferre, Helen",7,HAF Media LLC,"Miami, Florida",LLC,manager/principal,3/2008,1/2017
"White House/Flynn, Michael",1,Drone Aviation Holding Corp.,"Jacksonville, Florida",Corporation,Board Member,4/2016,12/2016
"White House/Flynn, Michael",2,GreenZone Systems Inc.,"Arlington, Virginia",Corporation,Board Member,11/2014,12/2016
"White House/Flynn, Michael",3,HALO Privacy LLC,"Seattle, Washington",Corporation,Board Member,10/2015,12/2016
"White House/Flynn, Michael",4,Palo Alto Networks Inc.,"Santa Clara, California",Corporation,Advisory Council Member,9/2014,12/2016
"White House/Flynn, Michael",5,Patriot Capital LLC,"Orlando, Florida",Corporation,Advisory Board Member,8/2015,12/2016
"White House/Flynn, Michael",6,X-Co Dynamics Inc./Iron Bridge Group,"Washington, D.C.",Corporation,Advisor,8/2015,12/2016
"White House/Flynn, Michael",7,Quaestor Federal Consulting LLC,"Springfield, Virginia",Corporation,Advisor,10/2015,9/2016
"White House/Flynn, Michael",8,Flynn Intel Group Inc. (suspended activities in November 2016),"Alexandria, Virginia",Corporation,Chairman,1/2015,Present
"White House/Flynn, Michael",9,Flynn Intel Group LLC  (suspended activities in November 2016),"Alexandria, Virginia",Corporation,Member,10/2014,Present
"White House/Flynn, Michael",10,Adobe Systems Inc.,"Palo Alto, California",Corporation,Advisory Board Member/Consultant,2/2015,12/2016
"White House/Flynn, Michael",11,OSY Technologies SARL,Luxembourg,Corporation,Advisory Board Member,5/2016,1/2017
"White House/Ford, Stephen J",1,"In Pursuit Of, LLC","Arlington, Virginia",Corporation,Editorial Director,12/2016,1/2017
"White House/Ford, Stephen J",2,Freedom Partners Chamber of Commerce,"Arlington, Virginia",Non-Profit,Director of Writing,11/2013,12/2016
"White House/Gigicos, George",1,"Telion Events, Corp","Boca Raton, Florida",Corporation,President,4/2000,1/2017
"White House/Goad, Robert T",1,"Trump for America, Inc.","Washington, District of Columbia",Presidential Transition,Education Policy Lead,11/2016,1/2017
"White House/Goad, Robert T",2,"Donald J. Trump for President, Inc.","New York, New York",Presidential Campaign,Education Policy Adviser,8/2016,11/2016
"White House/Goldschmidt, Abe E",1,State Attorney's Office,"Miami-Dade, Florida",State Prosecutor's Office,Assistant State Attorney,8/2012,11/2016
"White House/Goldschmidt, Abe E",2,Trump for America,"Washington, District of Columbia",Non-Profit,Deputy Director,8/2016,1/2017
"White House/Gorka, Sebastian",1,Institute of World Politics,"Washington, District of Columbia",University/College,Vice-President & Professor,8/2016,1/2017
"White House/Gorka, Sebastian",2,Marine Corps University Foundation,"Quantico, Virginia",Non-Profit,Major General Horner Distinguished Chair of Military Theory,9/2014,9/2016
"White House/Gorka, Sebastian",3,FOX News Network,"New York, New York",Corporation,Counter Terrorism Strategist,1/2017,1/2017
"White House/Gorka, Sebastian",4,Breitbart News Network,"Los Angeles, California",Corporation,National Security Editor,4/2014,1/2017
"White House/Gorka, Sebastian",5,Threat Knowledge Group,"McLean, Virginia",Corporation,Chairman,12/2010,1/2017
"White House/Gray, Alexander",1,Presidential Transition Team,"Washington, District of Columbia",Presidential Transition Team,"Member, U.S. Department of State Landing Team",11/2016,1/2017
"White House/Greenblatt, Jason",1,The Trump Organization,"New York City, New York",Corporation,Executive Vice President & Chief Legal Officer,1/1997,1/2017
"White House/Greenblatt, Jason",2,Yeshiva University,"New York City, New York",University/Colle ge,Adjunct Professor of Management,1/2015,5/2016
"White House/Greenblatt, Jason",3,Inspire Conversation Inc,"New Milford, New Jersey",Non-Profit,Director,8/2016,1/2017
"White House/Greenblatt, Jason",4,Inspire Conversation LLC,"New Milford, New Jersey",Limited Liability Company,Co- founder/Advisor,11/2012,1/2017
"White House/Greenblatt, Jason",5,The Frisch School,"Paramus, New Jersey",High School,"Member, Board of Trustees",6/2015,12/2016
"White House/Greenblatt, Jason",6,Sy Syms School of Business,"New York City, New York",University/Colle ge,"Board Member, Board of Overseers",6/2015,12/2016
"White House/Gribbin, David",1,"Madrus, LLC","Leesburg, Virginia",Consulting firm,Founder,1/2017,1/2017
"White House/Gribbin, David",2,"HDR, Inc.","Omaha, Nebraska",Corporation,Director of Strategic Consulting,1/2016,1/2017
"White House/Gribbin, David",3,"Macquarie Capital,","New York, New York",Corporation,Managing Director,2/2009,7/2015
"White House/Gribbin, David",4,"Education for San Pablo, Inc.","Leesburg, Virginia",Non-Profit,Chairman,7/2010,3/2017
"White House/Grisham, Stephanie",1,Arizona House of Representatives,"Phoenix, Arizona",State Government,Press Secretary,1/2017,1/2015
"White House/Grisham, Stephanie",2,Trump for America,"New York, New York",Transition Team,Director of Press,11/2016,1/2017
"White House/Hagin, Joseph",1,Command Consulting Group,"Washington, District of Columbia",Corporation,Partner,5/2009,12/2016
"White House/Hagin, Joseph",2,"Fox Factory, Inc","Scotts Valley, California",Corporation,Board Member,6/2011,1/2017
"White House/Hagin, Joseph",3,JWH Consulting LLC,"Cincinnati, Ohio",Personal LLC,Managing Member,7/2008,1/2017
"White House/Hahn, Julia",1,Breitbart News Network LLC,"Los Angeles, California",Corporation,Senior Investigative Reporter,7/2015,1/2017
"White House/Hahn, Julia",2,Ingraham Radio LLC,"Bethesda, Maryland",Corporation,Executive Producer of The Laura Ingraham Show,6/2013,1/2015
"White House/Haley, Vincent",1,American Legacy Center,"Reston, Virginia",Non-Profit,Board Member,8/2016,1/2017
"White House/Haley, Vincent",2,Gingrich Productions,"Arlington, Virginia",Corporation,"VP, Special Projects",6/2012,12/2016
"White House/Haley, Vincent",3,"Trump for America, Inc.","Washington, District of Columbia",Non-Profit,Adviser,12/2016,1/2017
"White House/Herndon, Charles C",1,CSRA,"Falls Church, Virginia",Corporation,BDE,1/2016,1/2017
"White House/Herndon, Charles C",2,"TechCentrics, Inc","Alexandria, Virginia",Corporation,Founder & COO,11/2015,1/2017
"White House/Herndon, Charles C",3,SRA International,"Fairfax, Virginia",Corporation,CTO,12/2012,11/2016
"White House/Herndon, Charles C",4,Alexandria Rotary,"Alexandria, Virginia",Non-Profit,"Director, Public Image",6/2014,2/2017
"White House/Herndon, Charles C",5,Command Consulting,"Washington, District of Columbia",Corporation,Consultant,10/2015,1/2016
"White House/Hicks, Hope",1,Trump Organization,"New York, New York",Corporation,Director of Communication s,10/2014,1/2017
"White House/Hicks, Hope",2,"Trump for America, Inc.","New York, New York",Presidential Transition Team,Press Secretary,11/2016,1/2017
"White House/Hiler, Jonathan",1,"Midknight Equity, LLC","Las Vegas, Nevada",Limited Liability Company,Managing Partner,9/2013,2/2017
"White House/Hunter, Mallory",1,Trump For America Inc.,"Washington, District of Columbia",Non-Profit,Volunteer,11/2016,1/2017
"White House/Hunter, Mallory",2,Republican National Committee,"Washington, District of Columbia",Political Organization,Director of Operations,5/2013,1/2017
"White House/Jack, Brian",1,American Israel Public Affairs Committee,"Washington, District of Columbia",Non-Profit,Senior Political Analyst,9/2011,9/2015
"White House/Jack, Brian",2,"BTJ Strategies, LLC","Peachtree City, Georgia",Corporation,President,9/2015,1/2017
"White House/Jarmula, Ryan",1,State of Indiana,"Indianapolis, Indiana",State Government,Speechwriter,1/2013,12/2016
"White House/Jarmula, Ryan",2,"Trump for America, Inc.","Washington, District of Columbia",Presidential Transition,Speechwriter,12/2016,1/2017
"White House/Jarmula, Ryan",3,"Donald J. Trump for President, Inc","New York, New York",Presidential Campaign,Policy Advisor and Speechwriter,8/2016,11/2016
"White House/Juster, Kenneth",1,Warburg Pincus LLC,"New York, New York",Private Equity Investment Firm,Partner,10/2010,1/2017
"White House/Juster, Kenneth",2,"Gold Reserve, Inc.","Spokane, Washington",Corporation,Board Member,3/2015,1/2017
"White House/Juster, Kenneth",3,Weatherhead Center for International Affairs-Advisory Committee at Harvard,"Cambridge, Massachusetts",University/Colle ge,Chairman of Advisory Committee,6/2008,1/2017
"White House/Juster, Kenneth",4,Freedom House,"Washington, District of Columbia",Non-Profit,Chairman of Board,10/2009,1/2017
"White House/Juster, Kenneth",5,Asia Foundation,"San Franscisco, California",Non-Profit,Vice Chairman of Board,9/2008,1/2017
"White House/Juster, Kenneth",6,Bridgepoint Education,"San Diego, California",Corporation,Board Member,8/2016,1/2017
"White House/Juster, Kenneth",7,U. S. India Business Council,"Washington, District of Columbia",Advocacy Group,Board Member,11/2010,1/2017
"White House/Karem, Michael J",1,Pinnacle West,"Phoenix, Arizona",Corporation,Chief of Staff to the Chairman,6/2014,1/2017
"White House/Karem, Michael J",2,Donald J Trump for President,"New York, New York",Campaign,Press Director for VP Candidate,7/2016,11/2016
"White House/Karem, Michael J",3,"Trump for America, Inc","Washington, District of Columbia",Non-Profit,Consultant,11/2016,1/2017
"White House/Katsas, Gregory",1,Jones Day,"Washington, District of Columbia",Law Firm,Partner,11/2009,1/2017
"White House/Katsas, Gregory",2,National Federation of Independent Business,"Washington, District of Columbia",Non-Profit,Advisory Board,1/2015,1/2017
"White House/Katsas, Gregory",3,"Trump for America, Inc.","Washington, District of Columbia",Presidential Transition Team,DOJ/WH Counsel Policy Advisor,11/2016,1/2017
