file,part,#,endnote
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.3.2,"Reinhart Partners Inc manages an account for Lakeshore Asset Management. The account holds interests in the following companies and cash on deposit with a U.S. bank: Robert Half International Inc. provides staffing and risk consulting services in North America, South America, Europe, Asia, and Australia. Spirit AeroSystems Holdings, Inc., through its subsidiaries, designs, manufactures, and supplies commercial aero structures worldwide. Brinker International, Inc., together with its subsidiaries, owns, develops, operates, and franchises casual dining restaurants worldwide. Discovery Communications, Inc. operates as a media company worldwide. The Michaels Companies, Inc. owns and operates a chain of arts and crafts specialty retail stores under the Michaels and Aaron Brothers names in North America. Whole Foods Market, Inc. operates natural and organic foods supermarkets. BOK Financial Corporation, a financial holding company, operates BOKF, NA that provides various financial products and services in Oklahoma, Texas, New Mexico, Northwest Arkansas, Colorado, Arizona, and Kansas/Missouri. Citizens Financial Group, Inc. operates as the bank holding company for Citizens Bank, N.A. and Citizens Bank of Pennsylvania that provide retail and commercial banking products and services in the United States. Franklin Resources, Inc. is a publicly owned asset management holding company. Ryman Hospitality Properties, Inc. owns and operates hotels in the United States. White Mountains Insurance Group, Ltd., through its subsidiaries, engages in insurance, reinsurance, and insurance services businesses. FirstEnergy Corp., through its subsidiaries, generates, transmits, and distributes electricity in the United States. Apache Corporation, an independent energy company, explores, develops, and produces natural gas, crude oil, and natural gas liquids. FMC Technologies, Inc., together with its subsidiaries, designs, manufactures, and services technological systems and products for customers in the energy industry worldwide. Ashland Global Holdings Inc. provides specialty chemical solutions worldwide. Weyerhaeuser Co. is a real estate investment trust. It primarily invests in United States. Gentex Corporation designs, develops, manufactures, and markets automatic-dimming rearview mirrors and electronics for the automotive industry; dimmable aircraft windows for the aviation industry; and commercial smoke alarms and signaling devices for the fire protection industry worldwide. DST Systems, Inc. provides technology-based information processing and servicing solutions in the United States, the United Kingdom, Canada, Australia, and internationally. Fidelity National Financial, Inc., together with its subsidiaries, provides title insurance, and technology and transaction services to the real estate and mortgage industries in the United States. HealthSouth Corporation owns and operates inpatient rehabilitation hospitals, home health agencies, and hospice agencies in the United States. Universal Health Services, Inc., through its subsidiaries, owns and operates acute care hospitals, behavioral health centers, surgical hospitals, ambulatory surgery centers, and radiation oncology centers."
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.3.5,"Hahn Capital Management, LLC, is an investment management firm based in San Francisco, CA.  A marketable securities account formerly managed by Hahn Capital Management, LLC, was liquidated in October 2016. The account held the following marketable securities: AGILENT TECHNOLOGIES INC COM ALBEMARLE CORP COM AMSURG CORP COM BANKUNITED INC BECTON, DICKINSON AND CO., COMMON STOCK,$1 PAR CARLISLE COMPANIES INC COMMON STOCK $1.00 PAR CARTER INC FORMERLY CARTER HLDGS INC TO 09/13/2003 COM CBRE GROUP INC CL A CL A CIT GROUP INC NEW COM NEW COM NEW COVANTA HLDG CORP COM EMCOR GROUP INC COM EURONET WORLDWIDE INC COM FIDELITY NATL FINL INC NEW FORMERLY FIDELITY COMMON STOCK FIRST REP BK SAN FRANCISCO CALIF NEW COM HANESBRANDS INC COM STK HEXCEL CORP NEW COM HOST HOTELS & RESORTS INC REIT IDEX CORP COM JACOBS ENGR GROUP INC COM KEYSIGHT TECHNOLOGIES INC COM KROGER CO., COMMON STOCK, $1 PAR LABORATORY CORP AMER HLDGS COM NEW MFB NORTHERN INSTL FDS TREAS PORTFOLIO  PREMIER CL MID-AMER APT CMNTYS INC COM MOHAWK INDS INC COMMON STOCK PARTNERRE HOLDING PIONEER NAT RES CO COM PVH CORP COM USD1 RELIANCE STL & ALUM CO COMMON STOCK ROPER TECHNOLOGIES, INC ROSS STORES INC COM SEI INVTS CO COM SNAP-ON INC COM WABTEC CORP COM"
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.4.1,"Renaissance Acquisition Company LLC, under the brand ""RenPSG,"" is the largest independent philanthropic solutions provider in North America."
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.9,"AEA Europe Fund LP is a private equity fund. It owns interests in the following companies and cash on deposit with a U.S. bank: BOA Group (Steel) Lone Star Prd Group, Ltd. (Industrial Machinery)"
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.15,"Cuyahoga Capital Partners I, L.P. is a private equity fund. It owns interests in the following companies and cash on deposit with a U.S. bank: Artiman Ventures, L.P.  holds an interest in Invensense (the provider of the MotionTracking sensor system on chip for consumer electronic devices) and Prysm (cloud-based visual workplaces) HarbourVest Partners VI - Buyout Partnership Fund (Asset Management & Custody Banks) HarbourVest Partners VI - Partnership Fund, L.P. (Asset Management & Custody Banks) Media Technology Ventures IV Annex Fund, L.P.  and Media Technology Ventures IV-A, L.P. hold ClariPhy (semiconductor company) and IMVU (online social network)"
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.28,Gaillon S.C.A. is a private equity fund. It owns interests in the following companies and cash on deposit with a U.S. bank: Cortefiel (Apparel Retail) Perstorp (Commodity Chemicals)
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.43,"Orlando Sportsplex, Ltd. owns and operates a facility in Maitland, FL, that includes an athletic facility, two ice rinks, and commercial and medical office space."
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.44,"RDV Genmar Holdings LLC holds an installment loan from an individual with the last name of Nicholson that is related to the sale of an investment in Genmar Holdings, Inc."
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.45,"RDV Capital Management LP holds notes receivable from Aurum Holdings LLC; Bridge Street Capital Fund I, LP; and RDV Asset Management LLC."
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.47,Cape Eleuthera Resort Ltd. owns and operates a resort and marina in Eleuthera Bahamas.
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.48.1,Cape Eleuthera Ltd. is a holding company which owns undeveloped land in Eleuthera Bahamas.
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.49,"Bridge Street Capital Fund I, LP is a private equity fund.  It owns interests in the following companies and cash on deposit with a U.S. bank: Superior Fibers, LLC (Fiberglass Media Manufacturing) V.I.O. Inc. (point-of view video technology) Callpod, Inc. (sells universal cellular phone adapters, accessories, software and power modules) Zorch International, Inc. (Product Distribution)"
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.52,"Bimini Capital Management is a real estate investment trust (REIT) that invests primarily in, but is not limited to, residential mortgage-related securities issued by the Federal National Mortgage Association (Fannie Mae), the Federal Home Loan Mortgage Corporation (Freddie Mac) and the Government National Mortgage Association (Ginnie Mae)."
"Senate-confirmed/DeVos, Elisabeth P",6,32.1.2.2,"Provider of full service, European credit management services, including information, payment, invoicing, debt collection, and debt purchases."
"Senate-confirmed/DeVos, Elisabeth P",6,32.1.3.2,"Provider of scaffolding services serving U.S. and Canadian energy, industrial, and commercial markets."
"Senate-confirmed/DeVos, Elisabeth P",6,32.1.4.2,"Manufacturer of custom natural and synthetic rubber products and composite structures and tooling for aerospace, defense, and select industrial applications."
"Senate-confirmed/DeVos, Elisabeth P",6,32.1.18,Global Long Short Partners LP is a private equity fund. It owns interests in the following investments and cash on deposit with a U.S. bank: Global Long Short Partners Hedge Fund (EIF) GS Real Estate Mezzanine Partners (EIF)
"Senate-confirmed/DeVos, Elisabeth P",6,32.1.21,The underlying investment has been liquidated and final proceeds were received on 11/8/16.
"Senate-confirmed/DeVos, Elisabeth P",6,32.1.22,This investment has been liquidated and the final proceeds were received on 8/30/16.
"Senate-confirmed/DeVos, Elisabeth P",6,32.2,"Activa Holdings Corporation owns undeveloped land in Grand Rapids, MI, which is currently under contract for sale.  This land is held in two entities:  Meadowbrooke Corporation and Meadowbrooke Business Park Associates, LP."
"Senate-confirmed/DeVos, Elisabeth P",6,33.1,"Activa Holdings Corporation owns undeveloped land in Grand Rapids, MI, which is currently under contract for sale.  This land is held in two entities:  Meadowbrooke Corporation and Meadowbrooke Business Park Associates, LP."
"Senate-confirmed/DeVos, Elisabeth P",6,34.1.5.1.1,Provider of specialty coffee beverages and accessories.
